Author Last,Author First,Title,ISBN1,ISBN2,ISBN3,Pub City,Publisher,Pub Date,HEB ID,Subject Category,URL
Fuchs, Rachel Ginnis,Poor and pregnant in Paris: strategies for survival in the nineteenth century,,,,"New Brunswick, N.J.",Rutgers University Press,1992-01-01,HEB02497.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb02497.0001.001,9780813517803
Barry, Boubacar,Senegambia and the Atlantic slave trade,,,,"Cambridge, U.K.",Cambridge University Press,1998-01-01,HEB02558.0001.001,African,https://hdl.handle.net/2027/heb02558.0001.001,9780521597609
Brenner, Louis,"Controlling knowledge: religion, power, and schooling in a West African Muslim society",,,,"Bloomington, Ind.",Indiana University Press,2001-01-01,HEB02567.0001.001,African,https://hdl.handle.net/2027/heb02567.0001.001,9781850654414
Greene, Sandra E.,"Gender, ethnicity, and social change on the upper slave coast: a history of the Anlo-Ewe",,,,"Portsmouth, NH",Heinemann,1996-01-01,HEB02597.0001.001,African,https://hdl.handle.net/2027/heb02597.0001.001,9780435089818
Ajayi, J. F. Ade,"Christian missions in Nigeria, 1841-1891: the making of a new elite",,,,London,Longmans,1965-01-01,HEB02547.0001.001,African,https://hdl.handle.net/2027/heb02547.0001.001
Southern, David W.,"Gunnar Myrdal and Black-white relations: the use and abuse of An American dilemma, 1944-1969",,,,Baton Rouge,Louisiana State University Press,1987-01-01,HEB02850.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb02850.0001.001,9780807118849
Drake, Paul W.,"Socialism and populism in Chile, 1932-52",,,,Urbana,University of Illinois Press,1978-01-01,HEB02751.0001.001,Latin American,https://hdl.handle.net/2027/heb02751.0001.001,9780252006579
Frazier, Edward Franklin,Negro youth at the crossways: their personality development in the Middle States,,,,New York,Schocken Books,1967-01-01,HEB02854.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb02854.0001.001
Díaz Alejandro, Carlos Federico,Essays on the economic history of the Argentine Republic,,,,New Haven,Yale University Press,1970-01-01,HEB02748.0001.001,Latin American,https://hdl.handle.net/2027/heb02748.0001.001,9780300011937
Léry, Jean De,"History of a voyage to the land of Brazil, otherwise called America: containing the navigation and the remarkable things seen on the sea by the author; the behavior of Villegagnon in that country; the customs and strange ways of life of the American savages; together with the description of various animals, trees, plants, and other singular things completely unknown over here",,,,"Berkeley, Calif.",University of California Press,1992-01-01,HEB03132.0001.001,Comparative/World,https://hdl.handle.net/2027/heb03132.0001.001,9780520082748
,,The Origins and diversity of axial age civilizations,,,,Albany,State University of New York Press,1986-01-01,HEB03100.0001.001,Comparative/World,https://hdl.handle.net/2027/heb03100.0001.001,9781438401942
Lewis, Archibald R.,"Nomads and Crusaders, A.D. 1000-1368",,,,Bloomington,Indiana University Press,1988-01-01,HEB03116.0001.001,Comparative/World,https://hdl.handle.net/2027/heb03116.0001.001,9780253347879
Cohen, Mark Nathan,The food crisis in prehistory: overpopulation and the origins of agriculture,,,,New Haven [Conn.],Yale University Press,1977-01-01,HEB03085.0001.001,Comparative/World,https://hdl.handle.net/2027/heb03085.0001.001,9780300023510
Deacon, Desley,"Managing gender: the state, the new middle class and women workers, 1830-1930",,,,Melbourne,Oxford University Press,1989-01-01,HEB03376.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03376.0001.001,9780195548174
Martin, A. W.,Henry Parkes: a biography,,,,"Carlton, Vic.",Melbourne University Press,1980-01-01,HEB03372.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03372.0001.001,9781597406536
Merritt, John,The making of the AWU,,,,Melbourne,Oxford University Press,1986-01-01,HEB03382.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03382.0001.001,9780195546675
Hudson, W. J.,Casey,,,,Melbourne,Oxford University Press,1986-01-01,HEB03369.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03369.0001.001,9780195547306
Wilcox, Craig,"Australia's Boer War: the war in South Africa, 1899-1902",,,,"South Melbourne, Vic.",Oxford University Press,2002-01-01,HEB03461.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03461.0001.001,9780195516371
Thomson, Alistair,Anzac memories: living with the legend,,,,Melbourne,Oxford University Press,1994-01-01,HEB03457.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03457.0001.001,9780195537437
Aguilar, Luis E.,Cuba 1933: prologue to revolution,,,,Ithaca [N.Y.],Cornell University Press,1972-01-01,HEB03472.0001.001,Latin American,https://hdl.handle.net/2027/heb03472.0001.001,9780801406607
Hirst, J. B.,The sentimental nation: the making of the Australian Commonwealth,,,,Melbourne,Oxford University Press,2000-01-01,HEB03433.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03433.0001.001,9780195506204
Green, L. C.,The law of nations and the New World,,,,Edmonton,University of Alberta Press,1993-01-01,HEB03532.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03532.0001.001,9781417591497
Muratorio, Blanca,"The life and times of Grandfather Alonso, culture and history in the upper Amazon",,,,"New Brunswick, N.J.",Rutgers University Press,1991-01-01,HEB03605.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03605.0001.001,9780813516851
Whitten, Norman E.,Sacha Runa: ethnicity and adaptation of Ecuadorian jungle Quichua,,,,Urbana,University of Illinois Press,1976-01-01,HEB03600.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03600.0001.001,9780252005534
Trigger, Bruce G,"Natives and newcomers: Canada's ""Heroic Age"" reconsidered",,,,Montreal,McGill-Queen's University Press,1986-01-01,HEB03537.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03537.0001.001,9780773561328
Lovell, W. George,"Conquest and survival in colonial Guatemala : a historical geography of the Cuchumatán Highlands, 1500-1821",,,,Montreal,McGill-Queen's University Press,2005-01-01,HEB03721.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03721.0001.001,9780773572065
Ray, Arthur J.,"Indians in the fur trade: their role as trappers, hunters, and middlemen in the lands southwest of Hudson Bay, 1660-1870: with a new introduction",,,,Toronto,University of Toronto Press,2005-01-01,HEB03722.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03722.0001.001,9781442623453
Ray, Arthur J.,The Canadian fur trade in the industrial age,,,,Toronto,University of Toronto Press,1990-01-01,HEB03723.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03723.0001.001,9781442657403
Morrison, Kenneth M.,The embattled Northeast: the elusive ideal of alliance in Abenaki-Euramerican relations,,,,Berkeley,University of California Press,1984-01-01,HEB03675.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03675.0001.001,9780520051263
Goodman, Dena,The republic of letters: a cultural history of the French enlightenment,,,,Ithaca,Cornell University Press,1994-01-01,HEB03988.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb03988.0001.001,9780801481741
Hatch, Elvin,Respectable lives: social standing in rural New Zealand,,,,Berkeley,University of California Press,1992-01-01,HEB03932.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03932.0001.001,9780520074736
Atkinson, Alan,Camden,,,,Melbourne,Oxford University Press,1988-01-01,HEB03356.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03356.0001.001,9780195549515
McNeill, William Hardy,Keeping together in time: dance and drill in human history,,,,"Cambridge, Mass.",Harvard University Press,1995-01-01,HEB04002.0001.001,European: General & Multiperiod,https://hdl.handle.net/2027/heb04002.0001.001,9780674502307
Fuess, Harald,"Divorce in Japan: family, gender, and the state, 1600-2000",,,,"Stanford, Calif.",Stanford University Press,2004-01-01,HEB04085.0001.001,Gender Studies,https://hdl.handle.net/2027/heb04085.0001.001,9780804779173
Bernstein, Gail Lee,Haruko's world: a Japanese farm woman and her community,,,,"Stanford, Calif.",Stanford University Press,1983-01-01,HEB04083.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04083.0001.001,9780804765725
Sato, Barbara Hamill,"The new Japanese woman: modernity, media, and women in interwar Japan",,,,"Durham, [N.C.]",Duke University Press,2003-01-01,HEB04094.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04094.0001.001,9780822384762
Robertson, Jennifer Ellen,Takarazuka: sexual politics and popular culture in modern Japan,,,,Berkeley,University of California Press,1998-01-01,HEB04082.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04082.0001.001,9780520211513
Sommer, Matthew Harvey,"Sex, law, and society in late imperial China",,,,"Stanford, Calif.",Stanford University Press,2000-01-01,HEB04221.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04221.0001.001,9780804764339
Ko, Dorothy,Cinderella's sisters: a revisionist history of footbinding,,,,"Berkeley, Calif.",University of California Press,2005-01-01,HEB04219.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04219.0001.001,9780520218840
Wang, Zheng,Women in the Chinese enlightenment: oral and textual histories,,,,"Berkeley, Calif.",University of California Press,1999-01-01,HEB04239.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04239.0001.001,9780520218741
Dudbridge, Glen,The legend of Miaoshan,,,,Oxford,Oxford University Press,2004-01-01,HEB04228.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04228.0001.001,9780199266715
Poiger, Uta G.,"Jazz, rock, and rebels: cold war politics and American culture in a divided Germany",,,,Berkeley,University of California Press,2000-01-01,HEB04370.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb04370.0001.001,9780520920088
Einhorn, Barbara,"Cinderella goes to market: citizenship, gender, and women's movements in East Central Europe",,,,London,Verso,1993-01-01,HEB04367.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04367.0001.001,9780860916154
Hartog, Hendrik,Man and wife in America: a history,,,,"Cambridge, Mass.",Harvard University Press,2002-01-01,HEB04365.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04365.0001.001,9780674038394
Smith, Bonnie G.,"The gender of history: men, women, and historical practice",,,,"Cambridge, Mass.",Harvard University Press,2000-01-01,HEB04359.0001.001,Gender Studies,https://hdl.handle.net/2027/heb04359.0001.001,9780674341814
,,"Popular trials: rhetoric, mass media, and the law",,,,Tuscaloosa,The University of Alabama Press,1993-01-01,HEB33714.0001.001,Rhetoric,https://hdl.handle.net/2027/heb33714.0001.001,9780817381943
Barreyre, Nicolas,Gold and freedom: the political economy of Reconstruction,,,,Charlottesville,The University of Virginia Press,2015-01-01,HEB33235.0001.001,American: 1789-1899,https://hdl.handle.net/2027/heb33235.0001.001,9780813937755
Dümpelmann, Sonja,"Flights of imagination: aviation, landscape, design",,,,Charlottesville,The University of Virginia Press,2014-01-01,HEB33239.0001.001,Architectural History,https://hdl.handle.net/2027/heb33239.0001.001,9780813935843
Herrington, Susan,Cornelia Hahn Oberlander: making the modern landscape,,,,Charlottesville,The University of Virginia Press,2014-01-01,HEB33236.0001.001,Architectural History,https://hdl.handle.net/2027/heb33236.0001.001,9780813938264
Platt, Harold L.,"The Electric City: Energy and the Growth of the Chicago Area, 1880-1930",,,,"Chicago, IL",The University of Chicago Press,1991-01-01,HEB99046.0001.001,Science & Technology,https://hdl.handle.net/2027/heb99046.0001.001,9781628201314
Ferguson, Margaret W.,"Dido's daughters: literacy, gender, and empire in early modern England and France",,,,Chicago,The University of Chicago Press,2003-01-01,HEB05708.0001.001,Literature,https://hdl.handle.net/2027/heb05708.0001.001,9780226243184
Miller, Perry,The life of the mind in America: from the Revolution to the Civil War : books one through three,,,,New York,Harcourt Brace Jovanovich,1965-01-01,HEB00005.0001.001,American: General & Multiperiod,https://hdl.handle.net/2027/heb00005.0001.001
Douglass, Frederick,"Narrative of the life of Frederick Douglass, an American slave",,,,"Cambridge, Mass.",Harvard University Press,1988-01-01,HEB04953.0001.001,American: 1789-1899,https://hdl.handle.net/2027/heb04953.0001.001,9780674601017
Phelan, John Leddy,"The people and the King: the Comunero Revolution in Colombia, 1781",,,,Madison,The University of Wisconsin Press,1978-01-01,HEB00294.0001.001,Latin American,https://hdl.handle.net/2027/heb00294.0001.001,9780299072940
Miller, Nathan,"The enterprise of a free people: aspects of economic development in New York State during the canal period, 1792-1838",,,,"Ithaca, N.Y.",Cornell University Press,1962-01-01,HEB00287.0001.001,American: 1789-1899,https://hdl.handle.net/2027/heb00287.0001.001
Nelson, Harold I.,"Land and power: British and Allied policy on Germany's frontiers, 1916-19",,,,London,Routledge,1963-01-01,HEB00290.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb00290.0001.001,9781487573799
Paul, Arnold M.,"Conservative crisis and the rule of law: attitudes of bar and bench, 1887-1895",,,,"Ithaca, N. Y.",Cornell University Press,1960-01-01,HEB00293.0001.001,American: 1789-1899,https://hdl.handle.net/2027/heb00293.0001.001
Hodgson, Marshall G. S,"The venture of Islam: conscience and history in a world civilization, Vol. 1",,,,Chicago,The University of Chicago Press,1974-01-01,HEB00894.0001.001,Middle Eastern: General & Multiperiod,https://hdl.handle.net/2027/heb00894.0001.001,9780226346861
Bartolʹd, V. V.,Turkestan down to the Mongol invasion,,,,New Delhi,Munshiram Manoharlal Publishers,1992-01-01,HEB00858.0001.001,Middle Eastern: 632-1918,https://hdl.handle.net/2027/heb00858.0001.001,9788121505444
Evans-Pritchard, E. E.,The Sanusi of Cyrenaica,,,,Oxford,Oxford University Press,1954-01-01,HEB00880.0001.001,Middle Eastern: Ancient to 632,https://hdl.handle.net/2027/heb00880.0001.001,9781597404617
Cragg, Kenneth,Counsels in contemporary Islam,,,,Edinburgh,Cambridge University Press,1965-01-01,HEB00872.0001.001,Middle Eastern: 1918-present,https://hdl.handle.net/2027/heb00872.0001.001,9781597404570
Stone, Lawrence,"The family, sex and marriage in England, 1500-1800",,,,New York,Harper,1977-01-01,HEB01414.0001.001,European: 1400-1800,https://hdl.handle.net/2027/heb01414.0001.001,9780060141424
Potter, David Morris,People of plenty: economic abundance and the American character,,,,Chicago,The University of Chicago Press,1954-01-01,HEB01419.0001.001,American: General & Multiperiod,https://hdl.handle.net/2027/heb01419.0001.001,9780226676333
Bowersock, G. W.,Greek sophists in the Roman Empire,,,,Oxford,Oxford University Press,1969-01-01,HEB01425.0001.001,European: Ancient to 400 C.E.,https://hdl.handle.net/2027/heb01425.0001.001,9780198142799
Davies, John Kenyon,"Athenian propertied families, 600-300 B.C.",,,,Oxford,Oxford University Press,1971-01-01,HEB01435.0001.001,European: Ancient to 400 C.E.,https://hdl.handle.net/2027/heb01435.0001.001,9780198142737
,,"Ritual, finance, politics: Athenian democratic accounts presented to David Lewis",,,,Oxford,Oxford University Press,1994-01-01,HEB01459.0001.001,European: Ancient to 400 C.E.,https://hdl.handle.net/2027/heb01459.0001.001,9780198149927
